,Company Name,Industry,Symbol,Series,ISIN Code
101,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
102,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
252,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
50,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
108,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
110,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
111,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
253,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
103,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
51,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
0,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
52,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
1,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
53,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
254,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
255,Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
104,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
112,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
113,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
257,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
54,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
258,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
114,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
105,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
2,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
115,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
256,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
116,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
3,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
259,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
117,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
109,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
106,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
118,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
107,AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
4,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
5,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
7,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
57,Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014
56,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
6,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
120,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
121,Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
58,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
122,Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
125,Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
8,Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
124,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
126,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
9,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
128,Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
127,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
129,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
130,Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
60,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
59,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
261,Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
61,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
119,BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
260,Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
265,Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
63,Canara Bank,Financial Services,CANBK,EQ,INE476A01022
263,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
264,Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
262,CESC Ltd.,Power,CESC,EQ,INE486A01021
62,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
64,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
10,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
11,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
132,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
133,Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
134,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
135,Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
136,Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
131,CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
266,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
137,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
267,Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
66,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
138,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
139,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
268,Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
67,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
140,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
65,DLF Ltd.,Realty,DLF,EQ,INE271C01023
55,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
12,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
141,Dummy Aditya Birla Fashion and Retail Ltd.,Consumer Services,DUMMYABFRL,BE,DUM647O01011
68,Dummy Siemens Ltd.,Capital Goods,DUMMYSIEMS,EQ,DUM003A01024
13,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
142,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
143,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
144,Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
14,Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
145,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
147,Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
271,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
158,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
148,Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
270,Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
69,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
272,Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
151,General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
152,Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
153,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
154,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
150,GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039
70,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
156,Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035
157,Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
15,Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
273,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
159,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
149,GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
72,Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
71,Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
16,HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
160,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
17,HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
18,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
19,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
274,HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
20,Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
276,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
161,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
21,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
162,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
164,Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
275,Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
165,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
73,Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027
22,ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
74,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
75,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
248,Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
166,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
278,Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
171,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
277,IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
76,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
168,Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
80,InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
24,IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
172,Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
25,Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
279,Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
77,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
173,Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
167,IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
169,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
170,Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
78,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
23,ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
82,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
27,Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
174,J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
176,Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
81,JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
175,JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
26,JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
177,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
181,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
280,Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
281,Kec International Ltd.,Construction,KEC,EQ,INE389H01022
179,KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
282,Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010
28,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
180,KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
178,K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
269,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
283,Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
184,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
84,Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
185,Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
186,Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032
85,Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
29,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
182,L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
83,LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
183,L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
187,Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
30,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
189,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
123,Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
191,Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
192,Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
31,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
194,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
195,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
284,Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
155,Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
193,Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
90,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
197,Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
198,MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
188,MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
190,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
196,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
199,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
205,Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
285,NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
204,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
79,Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
288,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
286,NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
287,NCC Ltd.,Construction,NCC,EQ,INE868B01028
33,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
289,Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
200,NHPC Ltd.,Power,NHPC,EQ,INE848E01016
239,The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017
201,NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014
202,NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
32,NTPC Ltd.,Power,NTPC,EQ,INE733E01010
203,NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011
146,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
206,Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
210,Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
207,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
208,Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040
34,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
213,Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
214,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
209,One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
291,Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
215,Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
216,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
87,Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
217,Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
86,Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
212,PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
88,Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
290,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
211,PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
218,Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
293,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
35,Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
163,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
292,Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
219,Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011
220,Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
294,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
300,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
89,REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
36,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
295,Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
296,Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033
221,Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
229,Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
222,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
37,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
39,State Bank of India,Financial Services,SBIN,EQ,INE062A01020
225,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022
91,Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
38,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
92,Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
223,SJVN Ltd.,Power,SJVN,EQ,INE002L01015
226,Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
227,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
297,Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
224,SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
228,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011
231,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
40,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
230,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
232,Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
233,Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
93,Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
234,Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
298,Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
235,Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
42,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
236,Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
237,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018
43,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
95,Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
44,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
238,Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
41,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
45,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
299,Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
240,Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029
242,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
46,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
96,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
241,Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
47,Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
94,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
246,United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025
48,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
245,Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
97,United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
243,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
244,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
98,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
99,Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
247,Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019
249,Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
250,Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017
49,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
251,Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
301,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
100,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
